Breakfast1,Breakfast2,Breakfast3,Breakfast4,Breakfast5,Morning Snack1,Morning Snack2,Lunch1,Lunch2,Lunch3,Lunch4,Lunch5,Afternoon Snack1,Afternoon Snack2,Dinner1,Dinner2,Dinner3,Dinner4,Dinner5,Score
steamed sweet rice,short rib beef soup,rolled omelette with cheese,seasoned salad with shepherd's purse,whole radish kimchi,S_apple,S_homestyle banana milk,stir-fried rice with broccoli and vegetables,mini-udon (white wheat noodles) with fried tofu,seasoned mandu (dumpling),apple orange salad (yoghurt dressing),pickled beet,S_orange,S_mango juice,steamed millet rice,bone soup,stir-fried cuttlefish and shrimp,stir-fried dried shrimp and zucchini,cucumber kimchi,5
steamed white rice (add),mandu (dumpling) soup,stir-fried soft crab and vegetables,stir-fried zucchini and dried shrimp,summer radish watery kimchi,S_milk (100ml),S_sweet pumpkin rice punch,steamed sweet rice (30),assorted mushroom stew,seasoned salad with bellflower root,seasoned salad with Korean melon and overripe cucumber,radish kimchi cubes,S_beef burdock porridge,S_raisin potato bowl,steamed chestnut bean rice,potato onion soup,stir-fried vegetables and Neobiani,deep-fried vegetables,radish watery kimchi,1
steamed white rice (add),potato onion soup,stir-fried soft crab and vegetables,stir-fried zucchini and dried shrimp,summer radish watery kimchi,S_beef burdock porridge,S_sweet pumpkin rice punch,steamed sweet rice (30),mandu (dumpling) soup,seasoned salad with bellflower root,seasoned salad with Korean melon and overripe cucumber,radish kimchi cubes,S_raisin potato bowl,S_milk (100ml),steamed chestnut bean rice,assorted mushroom stew,stir-fried vegetables and Neobiani,deep-fried vegetables,radish watery kimchi,4
steamed white rice,potato onion soup,stir-fried soft crab and vegetables,stir-fried zucchini and dried shrimp,summer radish watery kimchi,S_watermelon,S_rice punch,steamed sweet rice,mandu (dumpling) soup,stir-fried beef and mushroom,seasoned salad with green bean sprout in vinegar marinade,radish kimchi cubes,empty,S_milk (150ml),steamed chestnut bean rice,assorted mushroom stew,stir-fried vegetables and Neobiani,deep-fried vegetables,radish watery kimchi,5
steamed red bean sweet rice (40),tofu clam soup,braised chilli pepper and dried pollack in soy sauce,stir-fried jukkumi and,cucumber kimchi,S_soft tofu salad (oriental dressing),S_milk with misugaru (mixed grain powder),steamed sweet rice (add),bean powder mugwort  soup,seasoned salad with paprika in yuzu marinade,dried radish,pickled beet,S_green plum tea,S_broccoli beef porridge,steamed white bean rice,crab soup,seasoned salad with winter celery,stir-fried zucchini with bean powder,whole radish kimchi,1
steamed sweet rice (add),bean powder mugwort  soup,seasoned salad with paprika in yuzu marinade,braised chilli pepper and dried pollack in soy sauce,cucumber kimchi,S_broccoli beef porridge,S_milk with misugaru (mixed grain powder),steamed red bean sweet rice (40),tofu clam soup,seasoned salad with winter celery,dried radish,pickled beet,S_soft tofu salad (oriental dressing),S_green plum tea,steamed white bean rice,crab soup,stir-fried jukkumi and,stir-fried zucchini with bean powder,whole radish kimchi,3
steamed sweet rice,bean powder mugwort  soup,braised beef in soy sauce with eggs,braised chilli pepper and dried pollack in soy sauce,cucumber kimchi,fruit salad,S_milk with misugaru (mixed grain powder),steamed red bean sweet rice,tofu clam soup,steamed pork shank,seasoned salad with paprika in yuzu marinade,pickled beet,S_grape,S_green plum tea,steamed white bean rice,crab soup,stir-fried jukkumi and,stir-fried zucchini with bean powder,whole radish kimchi,5
rice bowl with beef and aubergine,mandu (dumpling) soup,stir-fried dried shrimp and zucchini,vegetables croquette,radish kimchi cubes,S_milk (100ml),S_misugaru (mixed grain powder),steamed chestnut bean rice,zucchini soup,seasoned salad with sweet potato stem in soy paste,fruit peanut salad,radish watery kimchi,S_Korean melon salad,empty,steamed sweet potato rice (30),mini-ball rice cake seaweed soup,braised burdock slices and konjac,empty,summer radish watery kimchi,1
steamed sweet potato rice (30),mini-ball rice cake seaweed soup,stir-fried dried shrimp and zucchini,seasoned salad with sweet potato stem in soy paste,radish kimchi cubes,S_Korean melon salad,S_milk (100ml),rice bowl with beef and aubergine,zucchini soup,vegetables croquette,fruit peanut salad,radish watery kimchi,empty,S_misugaru (mixed grain powder),steamed chestnut bean rice,mandu (dumpling) soup,empty,braised burdock slices and konjac,summer radish watery kimchi,2
steamed sweet potato rice,mushroom beef stew,steamed chicken drumsticks in curry,seasoned salad with sweet potato stem in soy paste,radish kimchi cubes,S_Korean melon salad,S_milk (200ml),rice bowl with beef and aubergine,zucchini soup,vegetables croquette,apple salad (balsamic vinegar dressing),radish watery kimchi,S_apple,S_misugaru (mixed grain powder),steamed chestnut bean rice,cod soup,steamed beef and zucchini,braised burdock slices and konjac,summer radish watery kimchi,5
steamed white bean rice,veggie soup,stir-fried jukkumi and,seasoned shepherd's purse,whole radish kimchi,S_soft tofu salad (oriental dressing),S_carrot seaweed flake porridge,steamed red bean sweet rice,dried bonito soy paste soup,pan-fried mushroom,dried radish,pickled cucumber,S_homestyle banana milk,S_Omija ice cream,steamed millet rice (30),clam soup,stir-fried potato and fried fish paste,seasoned salad with chwinamul in soy paste,pickled beet,1
steamed millet rice (30),dried bonito soy paste soup,dried radish,seasoned shepherd's purse,whole radish kimchi,S_carrot seaweed flake porridge,S_homestyle banana milk,steamed red bean sweet rice,veggie soup,pan-fried mushroom,stir-fried potato and fried fish paste,pickled cucumber,S_soft tofu salad (oriental dressing),S_Omija ice cream,steamed white bean rice,clam soup,stir-fried jukkumi and,seasoned salad with chwinamul in soy paste,pickled beet,3
steamed millet rice,cod soup,steamed tofu + marinade sauce,seasoned salad with salted seaweed,whole radish kimchi,S_orange,S_milk (200ml),steamed red bean sweet rice,veggie soup,pan-fried mushroom,stir-fried potato and fried fish paste,radish watery kimchi,S_soft tofu salad (oriental dressing),S_Omija ice cream,steamed white bean rice,clam soup,stir-fried jukkumi and,seasoned salad with chwinamul in soy paste,pickled beet,5
steamed red bean rice (30),seaweed mandu (dumpling) soup,seasoned salad with sweet potato stem in soy paste,empty,summer radish watery kimchi,S_rice-based beverage,S_red bean porridge,steamed corn rice,mandu (dumpling) soup,potato salad,empty,radish watery kimchi,S_raisin potato bowl,S_milk (150ml),rice bowl with beef and aubergine,perilla leaf soy paste stew,stir-fried zucchini,empty,radish kimchi cubes,1
steamed red bean rice (30),mandu (dumpling) soup,empty,seasoned salad with sweet potato stem in soy paste,summer radish watery kimchi,S_red bean porridge,S_rice-based beverage,rice bowl with beef and aubergine,seaweed mandu (dumpling) soup,empty,potato salad,radish watery kimchi,S_raisin potato bowl,S_milk (150ml),steamed corn rice,perilla leaf soy paste stew,empty,stir-fried zucchini,radish kimchi cubes,2
steamed red bean rice,seaweed mandu (dumpling) soup,steamed tofu,seasoned salad with sweet potato stem in soy paste,summer radish watery kimchi,S_kiwi,S_orange juice,rice bowl with beef and aubergine,dried bonito soy paste soup,roasted potato with butter,potato salad,radish watery kimchi,empty,S_milk (150ml),steamed corn rice,perilla leaf soy paste stew,steamed chicken in curry,stir-fried zucchini,radish kimchi cubes,5
steamed corn rice (30),red bean porridge,stir-fried dried shrimp and zucchini,steamed aubergine in marinade sauce,radish watery kimchi,S_potato salad,S_homestyle banana milk,pork cabbage rice bowl,zucchini salted shrimp soup or stew,braised potato and fried fish paste,seasoned zucchini,sweet radish kimchi,S_Solomon's seal tea,S_pollack porridge,steamed white rice (add),mandu (dumpling) chicken stew,rolled omelette with cheese,cabbage salad (lemon dressing),whole radish kimchi,1
steamed corn rice (30),red bean porridge,rolled omelette with cheese,cabbage salad (lemon dressing),radish watery kimchi,S_pollack porridge,S_homestyle banana milk,pork cabbage rice bowl,zucchini salted shrimp soup or stew,braised potato and fried fish paste,seasoned zucchini,sweet radish kimchi,S_potato salad,S_Solomon's seal tea,steamed white rice (add),mandu (dumpling) chicken stew,stir-fried dried shrimp and zucchini,steamed aubergine in marinade sauce,whole radish kimchi,3
steamed corn rice,mild chicken stew,rolled omelette with cheese,cabbage salad (lemon dressing),white kimchi,S_sweet green tea and chestnut jelly,S_homestyle banana milk,pork cabbage rice bowl,spring onion soy paste soup,grilled corn with butter,sweet potato mash,kohlrabi watery kimchi,S_sweet persimmon,S_milk (100ml),steamed white rice,minced beef bean sprout soup,grilled Spanish mackerel with lemon,stir-fried dried shrimp and zucchini,whole radish kimchi,5
paprika rice ball with fried tofu,napa cabbage soup,dried radish,stir-fried spicy jukkumi,summer radish watery kimchi,S_soft tofu salad (oriental dressing),S_milk (100ml),steamed pearl barley rice,mandu (dumpling) soup,pan-fried mung bean and kimchi,steamed fish and zucchini,pickled beet,S_black soy milk porridge,S_sweet pumpkin rice punch,steamed chestnut bean rice (40),fried fish paste soup,cabbage wraps,empty,radish kimchi cubes,1
paprika rice ball with fried tofu,napa cabbage soup,empty,dried radish,pickled beet,S_black soy milk porridge,S_sweet pumpkin rice punch,steamed pearl barley rice,mandu (dumpling) soup,steamed fish and zucchini,pan-fried mung bean and kimchi,summer radish watery kimchi,S_soft tofu salad (oriental dressing),S_milk (100ml),steamed chestnut bean rice (40),fried fish paste soup,stir-fried spicy jukkumi,cabbage wraps,radish kimchi cubes,4
paprika rice ball with fried tofu,napa cabbage soup,stir-fried tomato and eggs,coleslaw,pickled beet,S_tangerine,S_black sesame soy milk (100ml),steamed pearl barley rice,mandu (dumpling) soup,steamed fish and zucchini,pan-fried mung bean and kimchi,summer radish watery kimchi,empty,S_milk (150ml),steamed chestnut bean rice,fried fish paste soup,stir-fried spicy jukkumi,cabbage wraps,radish kimchi cubes,5
steamed mixed-grain rice (30),spring onion soup,braised mini-potato,braised konjac and quail eggs,whole radish kimchi,S_raisin potato bowl,S_rice-based beverage,steamed chestnut bean rice,tofu persimmon pine nut soup,seasoned salad with perilla leaves in vinegar marinade,stir-fried chive and eggs,radish watery kimchi,S_chwinamul soy paste porridge,S_milk with misugaru (mixed grain powder),stir-fried rice with beef in oyster sauce,chive shrimp soup,pineapple corn salad,stir-fried potato,sweet napa cabbage watery kimchi,1
steamed mixed-grain rice (30),tofu persimmon pine nut soup,stir-fried chive and eggs,seasoned salad with perilla leaves in vinegar marinade,whole radish kimchi,S_chwinamul soy paste porridge,S_milk with misugaru (mixed grain powder),stir-fried rice with beef in oyster sauce,spring onion soup,braised mini-potato,pineapple corn salad,radish watery kimchi,S_raisin potato bowl,S_rice-based beverage,steamed chestnut bean rice,chive shrimp soup,braised konjac and quail eggs,stir-fried potato,sweet napa cabbage watery kimchi,4
steamed mixed-grain rice,tofu persimmon pine nut soup,stir-fried chive and eggs,seasoned salad with perilla leaves in vinegar marinade,whole radish kimchi,S_orange,S_milk with misugaru (mixed grain powder),stir-fried rice with beef in oyster sauce,spring onion soup,braised mini-potato,pineapple corn salad,radish watery kimchi,S_watermelon punch (without milk),empty,steamed chestnut bean rice,chive shrimp soup,steamed pork and lotus root,stir-fried potato,sweet napa cabbage watery kimchi,5
stir-fried rice with broccoli and vegetables,mandu (dumpling) soup,seasoned salad with lettuce and apple in vinegar marinade,vegetables croquette,radish kimchi cubes,S_soft tofu salad (oriental dressing),S_beef daikon porridge,steamed sweet potato rice (30),mini-ball rice cake seaweed soup,seasoned salad with sweet potato stem in soy paste,seasoned oyster mushroom,sweet radish kimchi,S_homestyle banana milk,S_tomato juice,steamed sweet rice (add),oyster mushroom soup,stir-fried dried shrimp and zucchini,cream tteokbokki (stir-fried rice cake),pickled beet,1
steamed sweet potato rice (30),mini-ball rice cake seaweed soup,seasoned oyster mushroom,seasoned salad with lettuce and apple in vinegar marinade,radish kimchi cubes,S_beef daikon porridge,S_homestyle banana milk,stir-fried rice with broccoli and vegetables,oyster mushroom soup,vegetables croquette,stir-fried dried shrimp and zucchini,pickled beet,S_soft tofu salad (oriental dressing),S_tomato juice,steamed sweet rice (add),mandu (dumpling) soup,cream tteokbokki (stir-fried rice cake),seasoned salad with sweet potato stem in soy paste,sweet radish kimchi,3
steamed sweet potato rice,mini-ball rice cake seaweed soup,parboiled cuttlefish and broccoli,seasoned salad with sweet potato stem in soy paste,radish kimchi cubes,S_sweet pumpkin salad,S_homestyle banana milk,stir-fried rice with broccoli and vegetables,oyster mushroom soup,vegetables croquette,cucumber and tomato salad (balsamic vinegar dressing),pickled beet,S_tangerine (50g),S_tomato juice,steamed sweet rice,mandu (dumpling) soup,cream tteokbokki (stir-fried rice cake),seasoned salad with lettuce and apple in vinegar marinade,sweet radish kimchi,5
steamed chestnut bean rice,mini-udon (white wheat noodles) with fried tofu,seasoned salad with chwinamul and perilla seed,seasoned salad with garlic stem,summer radish watery kimchi,S_milk (100ml),S_sweet pumpkin rice punch,rice bowl with beef and aubergine,shrimp seaweed soup,seasoned salad with bellflower root,empty,radish watery kimchi,S_beef burdock porridge,S_raisin potato bowl,steamed red bean rice (30),soy paste stew,tomato cheese salad,empty,white kimchi,1
steamed red bean rice (30),shrimp seaweed soup,seasoned salad with chwinamul and perilla seed,seasoned salad with garlic stem,summer radish watery kimchi,S_beef burdock porridge,S_sweet pumpkin rice punch,rice bowl with beef and aubergine,mini-udon (white wheat noodles) with fried tofu,empty,tomato cheese salad,radish watery kimchi,S_raisin potato bowl,S_milk (100ml),steamed chestnut bean rice,soy paste stew,empty,seasoned salad with bellflower root,white kimchi,4
steamed red bean rice,shrimp seaweed soup,seasoned salad with chwinamul,seasoned salad with garlic stem,summer radish watery kimchi,S_melon,S_rice punch,rice bowl with beef and aubergine,mini-udon (white wheat noodles) with fried tofu,fried sweet pumpkin,tomato cheese salad,radish watery kimchi,empty,S_milk (100ml),steamed chestnut bean rice,soy paste stew,fish cutlet + tartar sauce,seasoned salad with bellflower root,white kimchi,5
